Name,City,Country
Steve,Okrika,Nigeria
Lois,Sopo,Indonesia
Annie,Pargas,Finland
Virginia,Itako,Japan
Martha,Molagavita,Colombia
Martha,Ferrol,Spain
Scott,Lingyuan,China
Clarence,Yanhe,China
John,Barreiros,Portugal
Cynthia,Olsztynek,Poland
Edward,Mīrwāh Gorchani,Pakistan
Annie,Wangping,China
Karen,Targowisko,Poland
Ernest,Makoua,Republic of the Congo
Joshua,Okhansk,Russia
Walter,Nagato,Japan
Sarah,Dalmeny,Canada
Gregory,Cova Figueira,Cape Verde
Kathleen,Patrang,Indonesia
Sara,Castainço,Portugal
Daniel,Diavatá,Greece
Nicole,El Paso,United States
Brandon,Alençon,France
Joseph,Vanadzor,Armenia
Christine,Rostov-na-Donu,Russia
Andrew,Santo Domingo de los Colorados,Ecuador
Mildred,Boromlya,Ukraine
Phillip,Xigebi,China
Rose,Palatine,United States
Rebecca,Arboga,Sweden
Kelly,Dahu,Indonesia
Edward,Ivry-sur-Seine,France
Jane,Salvacion,Philippines
Joan,Usa River,Tanzania
Nicholas,Yanshi,China
Arthur,Palanas,Philippines
Betty,Suining,China
Joseph,Thị Trấn Tân Yên,Vietnam
Ruby,Okocim,Poland
Arthur,Aiximan,China
Rebecca,Qulaybīyah,Tunisia
Henry,Abdurahmoni Jomí,Tajikistan
Norma,Xiaoduchuan,China
Billy,Shuangfeng,China
Craig,Doetinchem,Netherlands
Jessica,Alimono,Philippines
Adam,Cicuco,Colombia
Theresa,Ramana,Azerbaijan
Edward,Las Lajas,Honduras
Carl,Xucheng,China
Howard,Kazimierz Dolny,Poland
Marie,Kandang Timur,Indonesia
Nicholas,Sobreira,Portugal
Antonio,Nakhon Phanom,Thailand
Albert,Portel,Brazil
Jeffrey,Olinda,Brazil
Jeremy,Cuijiamatou,China
Kevin,Sendangagung,Indonesia
Andrea,Linxi,China
Edward,Zhanjia,China
James,Tangcun,China
Frances,Ruma,Serbia
Phyllis,Sotnikovskoye,Russia
Alice,Barapas,Indonesia
Gregory,Cergy-Pontoise,France
Anna,Yanqi,China
Gerald,Tržič,Slovenia
Evelyn,São João do Campo,Portugal
John,Helsingborg,Sweden
Elizabeth,Calamba,Philippines
Charles,Al Fayyūm,Egypt
Julia,Breia,Portugal
Eric,Aborlan,Philippines
Douglas,Shuanglong,China
Jennifer,Mahaba,Philippines
Jerry,Bacolod,Philippines
Randy,São João das Lampas,Portugal
Nicholas,Los Angeles,United States
Joan,La Sierpe,Cuba
Kenneth,Zahvizdya,Ukraine
Helen,Yanjiang,China
Maria,Huanghe,China
Todd,Yongxing Chengguanzhen,China
Linda,Windsor,Canada
Nancy,Charlottenberg,Sweden
Rebecca,Longguang,China
Heather,Huatajata,Bolivia
Pamela,Cikajang,Indonesia
Matthew,Tres Unidos,Peru
Beverly,Xiashu,China
Christina,Tim,Russia
Robin,Ludbreg,Croatia
Sandra,Kyaka,Tanzania
Katherine,Sukabumi,Indonesia
Dennis,Hayange,France
Amy,Hedi,China
Wanda,Peuara,Indonesia
Charles,Ilagan,Philippines
Rebecca,Ulee Gle,Indonesia
Ernest,Turar Ryskulov,Kazakhstan
Craig,Bondoukou,Ivory Coast
Tina,Protaras,Cyprus
Walter,Pinsk,Belarus
Andrew,Damatou,China
Todd,Vendychany,Ukraine
Emily,Hancheng,China
Jason,Anrong,China
Diana,Plaza de Caisán,Panama
Walter,Goyty,Russia
Roger,Chendian,China
Albert,Sapat,Indonesia
